Fecha,Cerrar/último,Volumen,Abrir,Alto,Bajo
10/01/2021,$176.91,1551139,$179.4,$179.49,$172.25
09/30/2021,$175.47,3177453,$175,$185.4499,$166.79
09/29/2021,$175.92,1899933,$180.09,$184.48,$174.61
09/28/2021,$178.6,1770493,$188,$190.8099,$178
09/27/2021,$189.48,1470146,$185.92,$192.05,$185.87
09/24/2021,$185.16,1685759,$191,$191.7153,$184.11
09/23/2021,$191.24,1682259,$192.33,$195.75,$190.6
09/22/2021,$190.14,2256593,$189.64,$193.5,$186.29
09/21/2021,$189.95,2633827,$199.36,$199.36,$186
09/20/2021,$192.2,3941802,$200,$202.8499,$184.55
09/17/2021,$204.97,3950643,$208.02,$212.49,$200.78
09/16/2021,$206.37,3058217,$202.33,$216.55,$201.15
09/15/2021,$204.52,2310407,$197,$204.87,$193.751
09/14/2021,$199.24,2141631,$200.65,$204.62,$195
09/13/2021,$203.4,4334068,$193.75,$208.88,$191.5
09/10/2021,$190.41,3042648,$198.408,$202.16,$190
09/09/2021,$199.18,7511458,$180.085,$202,$178
09/08/2021,$198.8,5173566,$201.86,$206.88,$190.6758
09/07/2021,$199,2501178,$206.25,$209.9,$196.1
09/03/2021,$202.75,2664005,$212.05,$216.27,$198.84
09/02/2021,$213.52,1855618,$213.86,$214.8,$206.3
09/01/2021,$212.97,4453782,$224,$231.439,$208.02
08/31/2021,$218.24,3574687,$212.7,$222.3,$211.46
08/30/2021,$209.2,3309584,$205,$218.19,$203.02
08/27/2021,$204.95,3230804,$207.7,$212.9999,$200.02
08/26/2021,$205.22,6238647,$200.68,$217,$199
08/25/2021,$199.65,12861060,$206.65,$227,$193
08/24/2021,$210.29,14652210,$166.29,$225,$165.15
08/23/2021,$164.89,1343032,$162.38,$167.29,$159.55
08/20/2021,$159.3,1154858,$153.8,$160.09,$153.24
08/19/2021,$152.9,1196548,$156.77,$157.9899,$150.78
08/18/2021,$157.05,1411842,$163.25,$165.6,$156.75
08/17/2021,$163.55,1215938,$161.19,$169.48,$161.1
